,id,price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,postal_code,state,city,tags,lat,lon,county,basement,big_bathroom,big_lot,big_yard,carport,cathedral_ceiling,central_air,city_view,community_boat_facilities,community_golf,community_outdoor_space,community_park,community_security_features,corner_lot,cul_de_sac,den_or_office,dining_room,dishwasher,elevator,ensuite,exposed_brick,family_room,farm,fenced_courtyard,fenced_yard,fireplace,fixer_upper,floor_plan,forced_air,front_porch,fruit_trees,furniture,game_room,garage_1_or_more,garage_2_or_more,garage_3_or_more,golf_course,golf_course_lot_or_frontage,golf_course_view,granite_kitchen,groundscare,high_ceiling,hill_or_mountain_view,horse_facilities,investment_opportunity,lake_view,large_porch,laundry_room,maintenance,marina,master_bathroom,master_bedroom,master_suite,new_construction,new_roof,open_floor_plan,pond,private_backyard,ranch,recreation_facilities,rental_property,river_view,shopping,single_story,smart_homes,spa_or_hot_tub,swimming_pool,trails,two_or_more_stories,updated_kitchen,vaulted_ceiling,view,views,washer_dryer,water_view,waterfront,wine_cellar,wooded_land
43,4807594206,289500,3.0,2,4.0,1.0,single_family,146797.0,1789.0,1970.0,187 N Borcherding Rd,47250,IN,Madison,"['central_air', 'community_outdoor_space', 'community_security_features', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'big_lot', 'farm', 'ranch']",38.741164,-85.458296,Jefferson,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3186903440,214900,3.0,2,,2.0,single_family,3096.0,1992.0,1860.0,828 W Second St,47250,IN,Madison,"['central_air', 'city_view', 'corner_lot', 'fireplace', 'view', 'basement', 'two_or_more_stories', 'river_view']",38.737321,-85.390717,Jefferson,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
45,9617726718,240000,,0,,,land,2635380.0,,,5000 E Buchelle Rd,47250,IN,Madison,"['view', 'big_lot', 'pond', 'views']",38.828656,-85.294103,Jefferson,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
46,4622792397,299900,3.0,3,4.0,1.0,single_family,26136.0,2077.0,1971.0,W 5358st Rd # 256,47250,IN,Madison,"['central_air', 'community_outdoor_space', 'corner_lot', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'updated_kitchen', 'fenced_yard', 'master_bedroom', 'big_lot', 'new_roof']",38.738413,-85.486226,Jefferson,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,9136690449,139000,0.0,0,,,land,696960.0,,,Co Rd # 925,47250,IN,Madison,['water_view'],,,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,9789159537,110000,0.0,0,,,land,585882.0,,,Vernon Ridge Rd,47250,IN,Madison,"['single_story', 'big_lot']",,,Jefferson,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9031535908,505000,0.0,0,,,land,3267000.0,,,8054 S County Road 25 W,47250,IN,Madison,"['horse_facilities', 'lake_view', 'river_view', 'view', 'water_view', 'garage_1_or_more', 'big_lot', 'pond', 'trails']",38.953906,-85.269945,Ripley,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
50,4818364063,319900,4.0,4,2.0,2.0,single_family,19602.0,3559.0,1974.0,249 Elmhurst Dr,47250,IN,Madison,"['central_air', 'community_outdoor_space', 'corner_lot', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'game_room', 'laundry_room', 'recreation_facilities', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'vaulted_ceiling', 'pond']",38.752506,-85.391014,Jefferson,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
51,4920770873,221000,3.0,1,,1.0,single_family,6534.0,1025.0,1900.0,1466 E SR 56,47250,IN,Madison,"['community_outdoor_space', 'forced_air', 'river_view', 'view', 'water_view', 'basement', 'single_story', 'front_porch']",38.732878,-85.360364,Jefferson,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
52,4858052292,58000,3.0,1,,2.0,single_family,5227.0,1776.0,1825.0,625 Walnut St,47250,IN,Madison,"['central_air', 'family_room', 'forced_air', 'basement', 'two_or_more_stories', 'shopping']",38.739416,-85.376172,Jefferson,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
