,id,price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,postal_code,state,city,tags,lat,lon,county,basement,big_lot,big_yard,carport,cathedral_ceiling,central_air,city_view,clubhouse,community_gym,community_outdoor_space,community_park,community_security_features,corner_lot,cul_de_sac,den_or_office,dining_room,disability_features,dishwasher,efficient,elevator,ensuite,family_room,farm,fenced_yard,fireplace,first_floor_master_bedroom,fixer_upper,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,granite_kitchen,groundscare,hardwood_floors,high_ceiling,hoa,investment_opportunity,lake,laundry_room,master_bathroom,master_bedroom,master_suite,medicalcare,modern_kitchen,new_construction,new_roof,no_hoa,open_floor_plan,open_kitchen,park,pets_allowed,playground,private_backyard,private_bathroom,private_parking,ranch,recreation_facilities,rental_property,shopping,single_story,solar_panels,solar_system,spa_or_hot_tub,swimming_pool,two_or_more_stories,updated_kitchen,vaulted_ceiling,view,views,washer_dryer,water_view,white_kitchen
20,5878620202,649000,4.0,3,,3.0,single_family,8002.0,2888.0,,1022 Jefferson Ave,07065,NJ,Rahway,"['corner_lot', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'basement', 'two_or_more_stories', 'updated_kitchen', 'open_floor_plan', 'floor_plan']",40.608982,-74.290867,Union,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
21,6522128496,411000,5.0,2,,2.0,multi_family,4356.0,,1919.0,930 Leesville Ave,07065,NJ,Rahway,"['forced_air', 'basement', 'two_or_more_stories', 'shopping']",40.597738,-74.275947,Union,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
22,6033243598,375000,2.0,2,2.0,,condos,,1216.0,2008.0,1 Carriage City Plz Apt 511,07065,NJ,Rahway,"['city_view', 'community_gym', 'community_outdoor_space', 'dishwasher', 'pets_allowed', 'recreation_facilities', 'view', 'washer_dryer', 'garage_1_or_more', 'garage_2_or_more', 'high_ceiling', 'shopping']",40.606326,-74.275571,Union,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
23,6422576031,249500,3.0,2,1.0,,townhomes,990.0,,1990.0,36 E Grand Ave Apt 22,07065,NJ,Rahway,"['central_air', 'forced_air', 'pets_allowed', 'garage_1_or_more', 'two_or_more_stories', 'fixer_upper']",40.611237,-74.270697,Union,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,5867757439,420000,3.0,2,,,single_family,5162.0,,,1042 Maurice Ave,07065,NJ,Rahway,"['fireplace', 'basement']",40.623736,-74.282176,Union,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6058945023,719000,4.0,3,2.0,,single_family,13068.0,,1968.0,1063 Midwood Dr,07065,NJ,Rahway,"['central_air', 'community_outdoor_space', 'community_security_features', 'dining_room', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'basement', 'garage_1_or_more', 'garage_2_or_more', 'two_or_more_stories', 'high_ceiling', 'master_bedroom', 'new_roof', 'lake']",40.607675,-74.300615,Union,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,6011231135,345000,2.0,2,2.0,,condos,,,2008.0,1 Carriage City Plz Apt 502,07065,NJ,Rahway,"['community_gym', 'dishwasher', 'pets_allowed', 'recreation_facilities', 'washer_dryer', 'garage_1_or_more', 'garage_2_or_more', 'private_bathroom', 'master_bedroom', 'shopping']",40.606479,-74.275529,Union,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
27,5573964639,750000,9.0,4,,,multi_family,4356.0,4800.0,,1768-70 Lawrence St,07065,NJ,Rahway,"['basement', 'rental_property']",40.609043,-74.270198,Union,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,5277096103,399000,3.0,1,2.0,,single_family,8712.0,1321.0,1952.0,342 W Inman Ave,07065,NJ,Rahway,"['community_outdoor_space', 'dishwasher', 'fireplace', 'hardwood_floors', 'swimming_pool', 'basement', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'high_ceiling', 'farm', 'ranch']",40.599706,-74.292296,Union,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,9320609357,384000,3.0,3,1.0,3.0,townhomes,1024.0,1480.0,2007.0,1354 Genovese Ln Unit 1004,07065,NJ,Rahway,"['central_air', 'community_outdoor_space', 'dining_room', 'dishwasher', 'family_room', 'forced_air', 'hardwood_floors', 'laundry_room', 'pets_allowed', 'washer_dryer', 'two_or_more_stories', 'garage_1_or_more', 'updated_kitchen', 'vaulted_ceiling', 'open_floor_plan', 'floor_plan', 'master_suite', 'rental_property', 'ensuite']",40.6019272,-74.27047519,Union,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
